country,cases,deaths,recovered,active,population,fetchedAt,death_rate,recovery_rate
Micronesia,26547,65,0,26482,117489,2025-06-24 06:39:10.767,0.24484875880513807,0.0
France,40138560,167642,39970918,0,65584518,2025-06-24 06:39:10.767,0.41765823188475126,99.58234176811524
French Polynesia,79254,650,0,78604,284164,2025-06-24 06:39:10.767,0.8201478789714084,0.0
Portugal,5643062,28126,5614809,127,10140570,2025-06-24 06:39:10.767,0.4984173485954965,99.49933210019667
Burundi,54721,38,53569,1114,12624840,2025-06-24 06:39:10.767,0.06944317538056688,97.8947753147786
Monaco,17181,67,0,17114,39783,2025-06-24 06:39:10.767,0.3899656597404109,0.0
Jamaica,156869,3756,0,153113,2985094,2025-06-24 06:39:10.767,2.394354525113311,0.0
Germany,38828995,183027,38240600,405368,83883596,2025-06-24 06:39:10.767,0.47136682265405017,98.4846504525806
Cook Islands,7203,2,7150,51,17571,2025-06-24 06:39:10.767,0.027766208524226017,99.264195474108
Cambodia,139103,3056,136044,3,17168639,2025-06-24 06:39:10.767,2.196933207766907,97.80091011696369
Sao Tome and Principe,6778,80,6685,13,227679,2025-06-24 06:39:10.767,1.1802891708468575,98.62791383889052
Bangladesh,2049377,29493,0,2019884,167885689,2025-06-24 06:39:10.767,1.4391202789921036,0.0
Romania,3529735,68929,3460149,657,19031335,2025-06-24 06:39:10.767,1.9528094885310088,98.02857721613663
New Zealand,2621111,5697,2613791,1623,4898203,2025-06-24 06:39:10.767,0.21735058149006278,99.72072911067102
Morocco,1278992,16303,0,1262689,37772756,2025-06-24 06:39:10.767,1.2746756820996534,0.0
Lithuania,1397806,9897,1387478,431,2661708,2025-06-24 06:39:10.767,0.7080381683867433,99.26112779598886
Jordan,1746997,14122,1731007,1868,10300869,2025-06-24 06:39:10.767,0.8083585718807761,99.08471508537221
Guinea-Bissau,9614,177,8929,508,2063367,2025-06-24 06:39:10.767,1.841065113376326,92.87497399625546
Guinea,38572,468,37757,347,13865691,2025-06-24 06:39:10.767,1.2133153582909884,97.8870683397283
Côte d'Ivoire,88384,835,87497,52,27742298,2025-06-24 06:39:10.767,0.9447411296162201,98.99642469225199
Croatia,1309728,18687,1258432,32609,4059286,2025-06-24 06:39:10.767,1.4267847980649417,96.08346160424149
Central African Republic,15440,113,15200,127,5016678,2025-06-24 06:39:10.767,0.7318652849740932,98.44559585492227
Cayman Islands,31472,37,8553,22882,67277,2025-06-24 06:39:10.767,0.1175648195221149,27.17653787493645
Bhutan,62697,21,61564,1112,787941,2025-06-24 06:39:10.767,0.03349442557060146,98.19289599183374
Belarus,994037,7118,985592,1327,9432800,2025-06-24 06:39:10.767,0.7160699249625517,99.1504340381696
Sint Maarten,11051,92,10905,54,43966,2025-06-24 06:39:10.767,0.8325038458058095,98.67885259252557
Argentina,10128845,130841,9997258,746,46010234,2025-06-24 06:39:10.767,1.2917662379076786,98.70086865777886
Senegal,89053,1971,87024,58,17653671,2025-06-24 06:39:10.767,2.213288715708623,97.72158153010005
Saint Helena,2166,0,2,2164,6115,2025-06-24 06:39:10.767,0.0,0.09233610341643582
S. Korea,34571873,35934,34535939,0,51329899,2025-06-24 06:39:10.767,0.10393998612687255,99.89606001387313
Pakistan,1581936,30664,1538689,12583,229488994,2025-06-24 06:39:10.767,1.9383843594178274,97.26619787399743
Niger,9931,312,8890,729,26083660,2025-06-24 06:39:10.767,3.141677575269359,89.51767193636088
Mozambique,233731,2250,228805,2676,33089461,2025-06-24 06:39:10.767,0.9626450920074787,97.8924490118983
New Caledonia,80064,314,0,79750,290915,2025-06-24 06:39:10.767,0.3921862509992006,0.0
Malaysia,5278406,37348,5233268,7790,33181072,2025-06-24 06:39:10.767,0.7075620935562744,99.14485547341376
MS Zaandam,9,2,7,0,0,2025-06-24 06:39:10.767,22.22222222222222,77.77777777777779
Kyrgyzstan,206897,2991,196406,7500,6728271,2025-06-24 06:39:10.767,1.44564686776512,94.92936098638452
Kuwait,667158,2570,0,664588,4380326,2025-06-24 06:39:10.767,0.3852160957374415,0.0
Iceland,209906,229,0,209677,345393,2025-06-24 06:39:10.767,0.10909645269787428,0.0
Haiti,34667,860,33734,73,11680283,2025-06-24 06:39:10.767,2.4807453774482937,97.30867972423341
Ghana,171889,1462,170425,2,32395450,2025-06-24 06:39:10.767,0.8505489007440848,99.14828755766803
Italy,26723249,196487,26361218,165544,60262770,2025-06-24 06:39:10.767,0.7352661347428225,98.64525829175936
Ecuador,1070188,36043,1034145,0,18113361,2025-06-24 06:39:10.767,3.3679129274482613,96.63208707255174
Denmark,3183756,8814,3174942,0,5834950,2025-06-24 06:39:10.767,0.27684282338219385,99.7231571766178
Cuba,1115251,8530,1106660,61,11305652,2025-06-24 06:39:10.767,0.7648502444741139,99.22968013478581
Czechia,4759041,43517,4715206,318,10736784,2025-06-24 06:39:10.767,0.914406915174717,99.07891106632619
Chile,5384853,64497,5252450,67906,19250195,2025-06-24 06:39:10.767,1.1977485736379432,97.54119564638069
Channel Islands,101717,228,101321,168,176463,2025-06-24 06:39:10.767,0.22415132180461478,99.61068454633936
Cameroon,125379,1974,123280,125,27911548,2025-06-24 06:39:10.767,1.5744263393391238,98.32587594413738
Congo,25375,386,24006,983,5797805,2025-06-24 06:39:10.767,1.5211822660098522,94.60492610837439
Botswana,330638,2801,327049,788,2441162,2025-06-24 06:39:10.767,0.8471500553475403,98.91452283161645
Bosnia,403615,16388,379084,8143,3249317,2025-06-24 06:39:10.767,4.060304993620158,93.92217831349183
Belgium,4861695,34376,4826798,521,11668278,2025-06-24 06:39:10.767,0.7070784983426562,99.28220507456761
Bermuda,18860,165,18685,10,61939,2025-06-24 06:39:10.767,0.8748674443266171,99.07211028632025
Australia,11853144,24414,11820014,8716,26068792,2025-06-24 06:39:10.767,0.20597066904780706,99.72049609791293
Aruba,44224,292,42438,1494,107609,2025-06-24 06:39:10.767,0.66027496382055,95.96146888567294
Solomon Islands,25954,199,0,25755,721159,2025-06-24 06:39:10.767,0.7667411574323804,0.0
Andorra,48015,165,0,47850,77463,2025-06-24 06:39:10.767,0.3436426116838488,0.0
Slovenia,1356546,7100,1349424,22,2078034,2025-06-24 06:39:10.767,0.5233880753030122,99.47499015882985
Serbia,2615054,18057,2596608,389,8653016,2025-06-24 06:39:10.767,0.6905019934578789,99.29462259670355
Singapore,3006155,2024,3004131,0,5943546,2025-06-24 06:39:10.767,0.06732853096397225,99.93267146903602
Saint Martin,12324,63,0,12261,39730,2025-06-24 06:39:10.767,0.5111976630963972,0.0
